리뷰	플레이타임	유용한 평가	재밌는 평가	구매게임 수	작성 년도	작성 월	label
힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며힐링 게임이라며	299.9	48	47	33	2021	7	1
200시간 가까이 했는데 아직도 할 게 너무 많다20000원도 안되는데 70000원짜리 RPG보다컨텐츠가 많아서 가성비가 극에 달했다고 볼 수 있다게임 특성상 시기를 놓치면 꽤 오랜 시간을기다려야 하는 컨텐츠도 많다귀찮음이 많은 사람들에게는 비추천한다하지만 플레이 타임이 길어질수록자본주의 = 편리함의 공식에 따라돈을 써서 도구를 업그레이드 하고비싼 건물을 세워서 수고를 줄이는 등의게임을 할 수 있다이 시점에 2회차를 하기에는매우.. 번거로움이 느껴진다분명 주인공은 회사에서 굴려지다 쉬러왔는데새벽 2시까지 물 주면서 일하다가 기절하고다음 날 광산 가서 몬스터들에게 또 맞아 기절한다공식 멀티가 생겼다돈은 꼭 각자 벌어서 각자 써야한다농사 짓는다고 돈 다 쓰면농작물 다 자라서 팔 때까지다같이 빈곤해져서 눈치보인다*모드가 많지만 스팀 내 구독 기능이 없어일일히 파일 속에 찾아넣어야 하는 단점이 있다*npc가 굉장히 많고각자의 이야기가 호감도 이벤트마다 섞여있어대사를 보다보면 측은할때도 있고즐거운 순간도 많다비록 도트로 찍은 게임 캐릭터지만플레이하다보면어느새 정이 든 당신을 볼 수 있다매우매우 추천하는 게임이다	215.6	37	4	51	2020	3	1
어서오세요, 평화로운 시골의 스타 듀 벨리로목장 이야기, 혹은 하베스트 문 시리즈를 아십니까? 그 게임을 플레이 해 보신적 있으십니까? 그 게임에 대해 감상을 들려주세요. 그리고 이 게임을 봐 주세요. 당신이 목장이야기/하베스트 문에 내렸던 감상이 이 게임의 감상과 일치할 것입니다.스타 듀 벨리는 목장이야기(하베스트 문은 북미판 명칭이므로 목장이야기 하나로만 부르겠습니다)에 강한 영향을 받은 게임으로 전반적인 모든 것이 목장이야기와 흡사합니다.도시의 지루하고 각박한 삶에 지친 주인공이 어릴적 놀았던 할아버지의 시골 목장을 상속받고 시골에 내려가 반쯤 황폐화된 목장을 경영하면서 만나는 인연과 삶에 대한, 어찌보면 이런 류 게임에서는 뻔하디 뻔한 구성까지도 똑같지만,스타 듀 벨리는 반대되는 팩션인 거대 기업 조자콜라를 만들어 목장 경영에 거의 없는 듯 한 스토리의 진행에 대해 유저에게 인식시키고, 심지어 유저에게 반대 팩션의 스토리에 가담하게 만들수도 있게 만들어(그게 배드 엔딩급 노선이랄지도) 꽤 신선하단 느낌이 들게 만듭니다.전반적인 목장 운영 방식은 목장이야기와 큰 차이가 없어 목장이야기를 한번이라도 해 보신 분은 LTE급 적응속도를, 아예 이런류가 처음이신분이라도 큰 어려움 없이 진행이 가능합니다.다만 목장이야기와 다른 점은 판타지적 요소를 강화해 전투에 꽤 힘을 쏟은 점이나, 가장 중요한 목장의 자유로운 빌드가 가능해 플레이어의 역량에 따라 이게 목장인지 공원인지 모를정도의 커스터마이징이 가능합니다.등장인물 각자의 스토리는 훌륭한 편이나 이를 뒷받침해줄 이벤트 연출이나 전개가 약간 빈약하게 느껴지며, 특정 기념일은 꽤 부족하게 느껴지고 역시 이 이벤트 연출 자체도 목장이야기보다 부족하게 느껴지는게 아쉽습니다.목장이야기를 재미있게 즐기셨고 여전히 그 시리즈에 대해 좋은 감정이 남이 있는분. 콘솔이 없어 목장이야기를 즐기기 힘드신 분 모두에게 훌륭한 대안이 될 수 있고, 목장 이야기 자체를 해보지 않으신 분들도 취향에 맞으신다면 꽤 재미있게 즐기실 수 있으실 겁니다.도시 생활에 지치셨다면 게임에서나마 시골 농촌을 경험하며 잠시나마 평화로워지시는것이 어떨까요. 아름다운 스타 듀 벨리는 당신을 환영합니다. 게임 평가(10점 만점) 재미 10 분위기 10 편의성 8 총 평가 9 재미: 게임 플레이 자체의 재미. 조작감. 타격감 등 포함분위기: 게임의 그래픽이나 사운드, 스토리 등 게임에 잘 녹아들었는지편의성: 게임 접근성, 난이도, 튜토리얼, 조작, UI, 멀티 운영 등 플레이하기 좋은 환경	145.8	67	13	148	2016	8	1
동성 결혼을 햇는데 아기를 어떻게 가지나 해봣더니 입양을 하더라 갓겜 인정합니다	64.3	45	26	471	2016	4	1
스팀 초보가 제값주고 사도 절대 후회 안하는 첫번쨰 게임스팀을 시작했다면 이 게임부터 사고 시작하자	77.9	37	1	27	2020	6	1
100시간 넘게 한 사람들 보고 와 미쳤다 했는데 그게 내가 될 줄은 몰랐다	235.1	40	12	22	2021	1	1
이거 언제 질림?;;	338.6	40	26	133	2020	12	1
정식 멀티모드를 내놔	172.4	36	8	141	2017	6	1
인생게임	1384.4	33	5	58	2021	6	1
이 게임을 처음 한다면 제발 공략을 보지 않았으면 한다또한 천천히 한번에 빠져서 하는 것이 아닌 천천히 게임을 해 나간다면 이 게임을 더욱 즐길 수 있다.솔로 플레이가 질린다면 친구를 불러서 협동 플레이를 할수도 있으며여러 유저들의 관심이 담긴 패치와 리텍스처 등을 통해 180도 달라진 게임을 즐길 수도 있다.여러 농사외에 방대한 컨텐츠를 골라서 즐길 수 있으며 게임을 하며 현실의 자신에 삶의 대해 다시 생각을 하게 도와주는 좋은 게임이라고 생각한다.서로 죽이는 게임이 질리거나 현실에서 벗어나고 싶은 생각이 든다면 스타듀벨리에서 제 2의 삶을 살아보길 바란다.	6.6	47	2	29	2020	2	1
돌 캐는 소리, 나무 패는 소리가 너무 좋아요. 마을 캐릭터들이랑 상호작용을 하면 좀 힐링이 아닌 그냥 게임이 되는 것 같은데 거의 혼자 플레이하면 들리는 소리들이 되게 좋아서 힐링게임에 적합한 거 같아요. 힐링게임하다가 지겨우면 마을 캐릭터들이랑 상호작용하고 이벤트보고 그러다가 다시 힐링게임으로 돌아오고 그래도 좋은 거 같아요. 아무튼 스타듀밸리만 사도 할 수 있는게 많으니까 좋고 무엇보다 소리가 좋으니까 계속 하게 되는 느낌이에요. 비 오는 소리도 땅 밟는 소리도. 땅 밟을 때 모래를 밟는지 돌을 밟는지에 따라 소리도 달라지니까 그것도 좋았어요. 애들 도트라서 귀엽구요.	242.9	36	2	19	2019	12	1
---==={[게임 평가/Game Evaluation]}===---※작성자(Writer) : HungBok▒▒▒▒▒[연령대/AGE]▒▒▒▒▒☑ 모두 가능(All)☑ 어린이(Children)☐ 12세 이상(12+)☐ 15세 이상(15+)☐ 청소년 불가(19+)▒▒▒▒▒[그래픽/Graphics]▒▒▒▒▒☐ 감자(Potato)☐ 아주나쁨(Very bad)☐ 나쁨(Poor)☑ 괜찮음(Ok)☐ 좋음(Good)☐ 아주좋음(Very Good)☐ 현실(Reality)▒▒▒▒▒[가격/Price]▒▒▒▒▒☐ 비싼 게임(Expensive Games)☑ 아무때나(Any time)☐ 세일때 구매(Waiting for Sale)☐ 무료(Free)▒▒▒▒▒[언어/Language]▒▒▒▒▒☐ 공식 한글화(Official Korean)☑ 유저 한글화(Unofficial Korean)☐ 한글화 예정(Korean Scheduled)☐ 한글화 미정(Korean Pending)☐ 한글화 없음(No Korean)▒▒▒▒▒[완성도/Quality]▒▒▒▒▒☑ 갓겜(Buy Now)☐ 재미있음(Fun)☐ 보통(Normal)☐ 재미없음(No Fun)☐ 가능하면 환불(Refund if possible)☐ 사면 큰일남(Do not buy)▒▒▒▒▒[요구사항/Requirements]▒▒▒▒▒☐ 90년대 컴퓨터(90's computer)☑ 저사양 컴퓨터(Low-end computer)☐ 보통 컴퓨터(Normal computer)☐ 좋은 컴퓨터(Good computer)☐ 비싼 컴퓨터(Expensive computer)☐ NASA 컴퓨터(NASA computer)▒▒▒▒▒[게임 난이도/Game Difficulty]▒▒▒▒▒☑ 손이 있으면 가능(If you have a hand)☑ 쉬움(Easy)☐ 배우기 쉽움 / 고수되긴 어려움(Easy to learn / Hard to master)☐ 어려움(Hard)☐ 매우 어려움(Dark Souls)▒▒▒▒▒[유저 난이도/Player Difficulty]▒▒▒▒▒☐ 멀티가 없음(No Multiplayer)☐ 어린이들(Children)☐ 초보들이 많음(Many beginners)☑ 평균 난이도(Normal difficulty)☐ 잘하는 사람이 적음(Few people are master)☐ 잘하는 사람이 많음(Many people are master)☐ 고인물 게임(Master overflow)▒▒▒▒▒[불법 프로그램 사용 유저/Hacker]▒▒▒▒▒☐ 항상 있음(Hacker overflow)☐ 많음(Many people are hacker)☐ 조금 있음(Few people are hacker)☐ 가끔 있음(Some people hackers)☑ 없음(No hacker)▒▒▒▒▒[게임 시간/Play Times]▒▒▒▒▒☐ 매우짧음 : 2 시간 이하(Very short - 0 to 2 hours)☐ 짧음 : 2 에서 8 시간(Short - 2 to 8 hours)☐ 보통 : 8 에서 12 시간(Average - 8 to 12 hours)☑ 긺 : 12 시간 이상(Long - 12+ hours)☐ 끝없이 플레이 가능(Endless)▒▒▒▒▒[스토리/Story]▒▒▒▒▒☐ 스토리 없음(No story)☐ 별로(Bad)☐ 보통(Average)☑ 좋음(Good)☐ 환상적(Fantastic)▒▒▒▒▒[과금/Invest]▒▒▒▒▒☐ 과금 해야 진행 가능(Proceed with investment)☐ 과금 안해도 플레이가능(No investment required)☑ 과금 없음(No investment)▒▒▒▒▒[버그/Bug]▒▒▒▒▒☐ 게임 자체가 버그(Game itself is one big bug)☐ 대부분 버그입니다(Lot of bugs)☐ 버그가 쫌있음(There are a few bugs)☐ 버그가 거의 없음(Very few bugs)☑ 버그가 뭐죠?(No bugs)▒▒▒▒▒[기타/Other]▒▒▒▒▒멀티 플레이(Multiplayer) : 있음(Yes) ☑ / 없음(Not) ☐싱글 플레이(Singleplayer) : 있음(Yes) ☑ / 없음(Not) ☐한줄 후기(One line review) : 뭐 말할 필요가 있나요?※본 평가는 HungBok의 개인적인 의견임을 알려드립니다.※This evaluation is a personal opinion of HungBok.	40.5	53	13	1172	2018	3	1
자연의 맛~~ 바른 먹거리~~건강한 맛~~ 바른 먹거리~~내 몸이 좋아해요착하고 바른 먹거리~ 야!동글동글 귀요미 콩 좋아해두부 달걀 아삭아삭 콩나물먹다 보면 키 커지는 소리가 들려맛있게 골고루 꼭꼭 씹어 냠냠냠스스로 시작해요 착하고 바른 먹거리	81.1	49	75	733	2018	2	1
한국어를 지원하면 좋겠음	75.5	49	4	36	2018	1	1
1회차는 모드나 리텍 없이하시고 2,3회차는 리텍랑 모드받아서 하시고 4회차 이후는 대확장모드하세요 저는 이제 4화차 즐기러 갑니다 여튼 좋아요	932.9	36	4	5	2019	11	1
공략을 보셨다구요?망치로 머리를 한번 후려쳐서 리셋하세요 게임이 10배로 재미있어집니다	188.8	39	76	58	2019	4	1
인생을 여기다 바칠수있는 사람만 하시길 추천드립니다	193.2	31	12	13	2020	3	1
어 - 썸	135.3	34	14	766	2017	11	1
잠깐 해봤는데 재밌어요	366.4	38	73	126	2020	12	1
재밌어요 근데 잠을 못자고 있어요	152.0	38	39	131	2017	4	1
한지 16시간만에 애인이 3명이 생겼다. 목표까지 두명 남았다.	352.7	44	67	11	2020	12	1
현실에선 찐따인 내가 게임 속에선 남자친구 6명의 카사노바?! ( ꈍ∇ꈍ )⋆.ೃ࿔*:･	211.8	43	83	77	2020	10	1
힐링겜... 사실 이거 농사겜이 아니고 연애하는 겜이다;	194.0	31	9	1	2020	5	1
최근에 업데이트를 통해 친구와 함께 농사를 할 수 있는 게임.아기자기한 도트가 재미를 더해준다.아쉬운 것은 최근 업데이트로 한글패치가 안된다는 점.	5.3	33	1	3579	2018	11	1
혼자하면 노동둘이하면 게임셋이하면 애매넷이하면 환장	24.1	30	15	377	2021	3	1
장점 : 컨텐츠가 끊임없음단점 : 컨텐츠가 끊임없음	224.5	33	6	31	2021	4	1
애 비 게 일 조 와	36.6	41	8	130	2020	2	1
너무 많이 해버렸읍니다....	937.6	32	16	17	2018	11	1
한국인들아 이 게임에서도 노예처럼 일하지 말고 귀농과 여유를 즐겨	163.4	33	43	68	2019	9	1
시간이 남아도는 게 아니면 이 게임을 멀리하세요. 남아돌던 시간이 사라지게 만드는 게임입니다.	296.1	30	16	33	2020	7	1
힐링X 돈벌궁리O	154.8	33	20	80	2020	1	1
처음엔 그냥 평범한 귀농게임인줄 알았다..근대 갑자기 마을에서 쓰까수프 축제를 열지않나 광물얻고 싶으면 동굴가서 몬스터잡고 광물을 내가 캐야하지않나 뭔 이상한 사과같이 생긴놈들이 와서 특별한 농작물이나 아이템을 모아서 낡은 마을회관을 고치라고 하지않나...하지만, 힐링하는 마음에 이게임을 한다..(김치 파워 때문에 무의식적으로 힐링이 아닌 빡겜식으로 플레이 하실수도 있음)	232.1	33	13	164	2018	2	1
이 게임은 무조건 유튜브 공략법같은거 보고 하지마셈. 재미가 확 떨어짐. 아무것도 몰라도 차차하면서 알아가게되고 나중에는 콘텐츠가 엄청많아져서 재미가 더 불어남. 이게임 진짜 강추. 대신 공략법은 왠만하면 안보는게 더 재밌음	65.2	33	0	7	2021	8	1
하루만 더하고 자야지 하다가 계절이 지나가버리네? ㅎㅎ	178.5	34	16	39	2019	6	1
스타듀밸리 한글화좀해주시면 좋겠습니다 모든분들께서원하시는것갔습니다 제생각일수도잇지만... 그리고 2018년대서 한글정식화댄다면 언제쯤대고 모드도 지원가능한지알고싶습니다	20.6	44	0	18	2017	12	1
